10:41:54 SYS @ POHK5CCD3:CDB$ROOT:>SELECT
10:42:03   2      ash.sample_time,
10:42:03   3      ash.session_id,
10:42:03   4      ash.session_serial#,
10:42:03   5      u.username,
10:42:03   6      ash.sql_id,
10:42:03   7      ash.event,
10:42:03   8      ash.blocking_session
10:42:03   9  FROM
10:42:03  10      dba_hist_active_sess_history ash, dba_users u
10:42:03  11  WHERE
10:42:03  12      ash.sample_time BETWEEN TO_DATE('2024-05-20 13:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  13                          AND TO_DATE('2024-05-20 14:00:00', 'YYYY-MM-DD HH24:MI:SS')
10:42:03  14  	AND ash.user_id=u.user_id
10:42:03  15  	AND ash.blocking_session is not null
10:42:03  16      AND ash.event LIKE 'enq: TX%' order by 1;

"SAMPLE_TIME","SESSION_ID","SESSION_SERIAL#","USERNAME","SQL_ID","EVENT","BLOCKING_SESSION"
"20-MAY-24 13.06.33.749",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",5675,41777,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",5981,5977,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",7864,64791,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",11937,1421,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",13370,18752,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.33.749",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",4885,33937,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",5675,41777,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",5981,5977,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",7864,64791,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",9586,4660,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",11799,4958,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",11937,1421,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",13370,18752,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",13827,25016,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",14931,60442,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",1284,11965,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",2066,30369,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
"20-MAY-24 13.06.43.812",3940,44027,"S2BV4IM_CCSUSER","459kf103wabbm","enq: TX - row lock contention",2207
